,raw_price,raw_volume,proc_price,proc_volume
2016-07-04 00:00:00+00:00,155.0,,315.0,
2016-07-05 00:00:00+00:00,151.0,,314.0,
2016-07-06 00:00:00+00:00,152.0,,311.0,
2016-07-07 00:00:00+00:00,152.0,,316.0,
2016-07-08 00:00:00+00:00,147.0,,318.0,
2016-07-09 00:00:00+00:00,144.0,,323.0,
2016-07-10 00:00:00+00:00,140.0,,331.0,
2016-07-11 00:00:00+00:00,134.0,,331.0,
2016-07-12 00:00:00+00:00,133.0,,329.0,
2016-07-13 00:00:00+00:00,135.0,,325.0,
2016-07-14 00:00:00+00:00,136.0,,321.0,
2016-07-15 00:00:00+00:00,136.0,,317.0,
2016-07-16 00:00:00+00:00,136.0,,318.0,
2016-07-17 00:00:00+00:00,136.0,,324.0,
2016-07-18 00:00:00+00:00,135.0,,332.0,
2016-07-19 00:00:00+00:00,138.0,,336.0,
2016-07-20 00:00:00+00:00,138.0,,336.0,
2016-07-21 00:00:00+00:00,138.0,,336.0,
2016-07-24 00:00:00+00:00,161.0,,327.0,
2016-07-25 00:00:00+00:00,162.0,,318.0,
2016-07-26 00:00:00+00:00,167.0,,323.0,
2016-07-27 00:00:00+00:00,174.0,,332.0,
2016-07-28 00:00:00+00:00,179.0,,333.0,
2016-07-29 00:00:00+00:00,188.0,,324.0,
2016-07-30 00:00:00+00:00,191.0,,315.0,
2016-07-31 00:00:00+00:00,190.0,,305.0,
2016-08-01 00:00:00+00:00,188.0,,306.0,
2016-08-02 00:00:00+00:00,181.0,,301.0,
2016-08-03 00:00:00+00:00,174.0,,295.0,
2016-08-04 00:00:00+00:00,169.0,,302.0,
2016-08-05 00:00:00+00:00,160.0,,307.0,
2016-08-06 00:00:00+00:00,155.0,,306.0,
2016-08-07 00:00:00+00:00,155.0,,314.0,
2016-08-08 00:00:00+00:00,148.0,,318.0,
2016-08-09 00:00:00+00:00,140.0,,312.0,
2016-08-10 00:00:00+00:00,135.0,,306.0,
2016-08-11 00:00:00+00:00,136.0,,297.0,
2016-08-12 00:00:00+00:00,134.0,,304.0,
2016-08-13 00:00:00+00:00,138.0,,298.0,
2016-08-14 00:00:00+00:00,136.0,,296.0,
2016-08-15 00:00:00+00:00,133.0,,292.0,
2016-08-16 00:00:00+00:00,131.0,,293.0,
2016-08-17 00:00:00+00:00,131.0,,297.0,
2016-08-18 00:00:00+00:00,133.0,,301.0,
2016-08-19 00:00:00+00:00,134.0,,310.0,
2016-08-20 00:00:00+00:00,133.0,,312.0,
2016-08-21 00:00:00+00:00,127.0,,303.0,
2016-08-22 00:00:00+00:00,123.0,,296.0,
2016-08-23 00:00:00+00:00,120.0,,289.0,
2016-08-24 00:00:00+00:00,125.0,,290.0,
2016-08-25 00:00:00+00:00,127.0,,276.0,
2016-08-26 00:00:00+00:00,125.0,,262.0,
